priority,severity,problem_type,problem_date
Low,S4,Data Corruption,06-02-2024
Critical,S3,Disk Full,21-08-2024
Medium,S3,API Timeout,14-11-2023
Critical,S4,Data Corruption,11-09-2023
High,S3,API Timeout,10-01-2024
Critical,S1,Data Loss,01-09-2024
High,S4,Application Crash,09-01-2024
Critical,S3,Memory Leak,16-01-2023
Critical,S1,Disk Full,23-09-2023
Critical,S1,Compliance Violation,08-04-2024
High,S1,Authentication Failure,04-05-2024
High,S1,Authentication Failure,06-02-2024
Low,S4,Database Error,05-12-2023
High,S3,Fraud Alert,26-10-2024
Low,S1,Hardware Failure,05-06-2024
Medium,S1,Memory Leak,24-05-2023
Critical,S1,Performance Degradation,24-03-2023
High,S4,Data Corruption,05-03-2023
Critical,S3,Hardware Failure,23-08-2023
High,S3,Disk Full,09-12-2024
Medium,S4,Payment Processing Error,23-11-2024
Medium,S1,API Timeout,31-10-2023
Low,S1,Data Corruption,02-08-2023
Critical,S4,Data Corruption,06-03-2023
Low,S3,Authentication Failure,03-05-2024
Low,S3,Authentication Failure,24-02-2023
Critical,S2,Authentication Failure,20-05-2023
Low,S4,Fraud Alert,22-11-2023
High,S3,Application Crash,24-06-2024
Critical,S2,Disk Full,18-01-2024
High,S4,Security Breach,07-03-2023
Low,S3,Payment Processing Error,26-11-2023
Low,S3,Performance Degradation,23-11-2024
High,S3,Hardware Failure,23-09-2024
Critical,S2,Fraud Alert,17-08-2023
Medium,S1,Compliance Violation,06-09-2023
Low,S3,Database Error,16-05-2023
Critical,S2,Performance Degradation,30-12-2024
Low,S3,Compliance Violation,23-05-2024
Critical,S1,Payment Processing Error,08-04-2024
Low,S4,Compliance Violation,15-12-2023
Critical,S4,Data Loss,25-10-2024
High,S3,Payment Processing Error,14-08-2023
Critical,S3,Database Error,19-10-2023
Critical,S1,Application Crash,29-05-2023
Low,S3,Performance Degradation,19-09-2024
Low,S4,Fraud Alert,31-12-2023
Medium,S1,Fraud Alert,01-10-2023
Low,S4,Data Corruption,19-02-2024
High,S4,Compliance Violation,01-12-2023
Low,S1,Compliance Violation,19-02-2024
Critical,S2,Database Error,12-10-2023
Critical,S2,Application Crash,26-02-2024
Medium,S1,API Timeout,03-07-2023
Low,S3,Data Corruption,05-11-2023
Critical,S3,Application Crash,08-06-2023
Critical,S2,Data Corruption,01-12-2023
Critical,S4,Authentication Failure,14-07-2024
High,S4,Memory Leak,21-04-2024
High,S2,Data Corruption,13-08-2024
Medium,S3,Memory Leak,09-05-2023
Critical,S1,Network Outage,01-02-2023
High,S1,Database Error,25-07-2024
Low,S2,Application Crash,25-07-2024
Low,S1,Payment Processing Error,02-10-2024
Low,S3,Compliance Violation,29-05-2024
Medium,S3,Application Crash,26-11-2024
Medium,S1,API Timeout,28-10-2023
High,S1,Performance Degradation,11-10-2024
Medium,S3,Hardware Failure,09-10-2024
Medium,S4,API Timeout,18-05-2023
High,S1,Hardware Failure,21-05-2024
Critical,S4,Data Loss,23-09-2023
Critical,S3,Database Error,16-03-2024
High,S4,Network Outage,14-09-2024
Critical,S4,Disk Full,25-03-2023
Medium,S4,Fraud Alert,09-11-2023
High,S2,Memory Leak,03-09-2024
Critical,S1,Data Loss,17-05-2023
High,S2,Disk Full,05-11-2024
Low,S1,Data Corruption,24-08-2023
High,S4,Performance Degradation,06-06-2023
High,S2,Authentication Failure,11-07-2023
High,S1,Application Crash,10-04-2024
Critical,S1,Security Breach,25-12-2023
High,S1,Data Corruption,08-12-2023
Low,S1,Compliance Violation,30-06-2023
Critical,S1,Memory Leak,29-11-2024
High,S2,Authentication Failure,18-05-2024
Low,S3,API Timeout,13-09-2024
Low,S2,Authentication Failure,21-09-2024
Critical,S2,Data Loss,02-09-2024
Critical,S1,Payment Processing Error,04-12-2024
High,S3,Payment Processing Error,20-08-2024
Medium,S2,Data Loss,11-10-2024
Medium,S4,Disk Full,03-01-2024
High,S4,Data Corruption,28-07-2023
High,S3,Fraud Alert,02-11-2024
Low,S4,Authentication Failure,15-08-2023
Medium,S2,Fraud Alert,04-09-2023
